
WYPOZYCZALNIA                                      MODEL                                              TYP_NAPEDU                                         LICZBA_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
EasyScooter                                        Urban50                                            Spalinowy dwusuwowy                                              789          1
EasyScooter                                        Crossover150                                       Spalinowy dwusuwowy                                              659          2
EasyScooter                                        Jupiter125                                         Spalinowy czterosuwowy                                           658          3
EasyScooter                                        S01+                                               Spalinowy czterosuwowy                                           654          4
EasyScooter                                        XDiavel125                                         Elektryczny                                                      536          5
EasyScooter                                        Chieftain                                          Spalinowy dwusuwowy                                              531          6
EasyScooter                                        Matrix150                                          Elektryczny                                                      510          7
EasyScooter                                        Leoncino125                                        Spalinowy dwusuwowy                                              506          8
EasyScooter                                        PeopleS150                                         Elektryczny                                                      505          9
EasyScooter                                        LX150                                              Spalinowy dwusuwowy                                              504         10
EasyScooter                                        Cuxi100                                            Spalinowy dwusuwowy                                              500         11

WYPOZYCZALNIA                                      MODEL                                              TYP_NAPEDU                                         LICZBA_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
EasyScooter                                        Forza750                                           Spalinowy dwusuwowy                                              499         12
EasyScooter                                        Fiddle125                                          Spalinowy dwusuwowy                                              497         13
EasyScooter                                        R18                                                Spalinowy dwusuwowy                                              496         14
EasyScooter                                        Racer150                                           Spalinowy czterosuwowy                                           490         15
EasyScooter                                        PulsarNS125                                        Elektryczny                                                      490         15
EasyScooter                                        PulsarNS125                                        Spalinowy czterosuwowy                                           483         17
EasyScooter                                        KPV150                                             Spalinowy czterosuwowy                                           482         18
EasyScooter                                        Primavera150                                       Spalinowy dwusuwowy                                              479         19
EasyScooter                                        Vision110                                          Spalinowy dwusuwowy                                              371         20
EasyScooter                                        Evo125                                             Spalinowy czterosuwowy                                           369         21
EasyScooter                                        X-Ride125                                          Elektryczny                                                      360         22

WYPOZYCZALNIA                                      MODEL                                              TYP_NAPEDU                                         LICZBA_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
EasyScooter                                        R18                                                Elektryczny                                                      359         23
EasyScooter                                        Jet14                                              Elektryczny                                                      357         24
EasyScooter                                        MQiGT                                              Spalinowy dwusuwowy                                              355         25
EasyScooter                                        GTS300                                             Elektryczny                                                      353         26
EasyScooter                                        Vision110                                          Spalinowy czterosuwowy                                           351         27
EasyScooter                                        R18                                                Spalinowy czterosuwowy                                           351         27
EasyScooter                                        ZT310T                                             Elektryczny                                                      351         27
EasyScooter                                        PCX125                                             Elektryczny                                                      351         27
EasyScooter                                        Django125                                          Spalinowy czterosuwowy                                           348         31
EasyScooter                                        Dragster200                                        Spalinowy czterosuwowy                                           344         32
EasyScooter                                        GTS300                                             Spalinowy dwusuwowy                                              342         33

WYPOZYCZALNIA                                      MODEL                                              TYP_NAPEDU                                         LICZBA_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
EasyScooter                                        X-Ride125                                          Spalinowy dwusuwowy                                              341         34
EasyScooter                                        Tango125                                           Spalinowy dwusuwowy                                              340         35
EasyScooter                                        Crossover150                                       Spalinowy czterosuwowy                                           340         35
EasyScooter                                        VivaE                                              Elektryczny                                                      338         37
EasyScooter                                        Maxsym400                                          Elektryczny                                                      337         38
