
PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Suzuki                                             Spalinowy czterosuwowy                             TouringPlus                                                   999,49          1
Keeway                                             Spalinowy dwusuwowy                                Sport                                                         998,83          2
Aprilia                                            Spalinowy czterosuwowy                             Extreme                                                       994,14          3
Moto Guzzi                                         Spalinowy czterosuwowy                             Adventure                                                     993,22          4
TGB                                                Spalinowy czterosuwowy                             Premium                                                       988,56          5
Malaguti                                           Spalinowy dwusuwowy                                Urban                                                         986,84          6
TGB                                                Elektryczny                                        LED                                                           984,55          7
Aeon                                               Elektryczny                                        Off-road                                                      983,39          8
Super Soco                                         Spalinowy dwusuwowy                                Dynamic                                                       982,65          9
Honda                                              Spalinowy czterosuwowy                             Prestige                                                      981,14         10
Lifan                                              Elektryczny                                        Custom                                                         977,7         11

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Bajaj                                              Spalinowy czterosuwowy                             Urban                                                         977,59         12
Suzuki                                             Spalinowy czterosuwowy                             City                                                          973,83         13
Keeway                                             Spalinowy dwusuwowy                                Urban                                                          973,5         14
CFMoto                                             Elektryczny                                        Business                                                      970,43         15
Keeway                                             Elektryczny                                        Smart                                                         970,02         16
Super Soco                                         Spalinowy dwusuwowy                                Off-road                                                      968,62         17
Kawasaki                                           Spalinowy czterosuwowy                             Prestige                                                      966,06         18
BMW                                                Spalinowy dwusuwowy                                Elegance                                                      964,33         19
Aeon                                               Elektryczny                                        Eco                                                           960,44         20
Super Soco                                         Spalinowy dwusuwowy                                Adventure                                                     959,77         21
Malaguti                                           Spalinowy dwusuwowy                                Business                                                      958,04         22

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Rieju                                              Spalinowy czterosuwowy                             Pro                                                           957,97         23
Aeon                                               Elektryczny                                        Elegance                                                      957,07         24
Super Soco                                         Elektryczny                                        NightRide                                                     955,42         25
Ducati                                             Spalinowy dwusuwowy                                Prestige                                                      954,48         26
Suzuki                                             Elektryczny                                        NightRide                                                     951,81         27
Aprilia                                            Elektryczny                                        Business                                                      951,39         28
Ducati                                             Elektryczny                                        Urban                                                         950,93         29
Rieju                                              Spalinowy dwusuwowy                                Business                                                      950,58         30
Aeon                                               Elektryczny                                        Smart                                                          949,5         31
Gogoro                                             Elektryczny                                        Standard                                                      948,02         32
Aeon                                               Elektryczny                                        TouringPlus                                                   944,42         33

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
BMW                                                Elektryczny                                        Classic                                                       943,04         34
Ducati                                             Elektryczny                                        Touring                                                       942,29         35
Sym                                                Spalinowy dwusuwowy                                Standard                                                      941,86         36
Piaggio                                            Spalinowy czterosuwowy                             Ultimate                                                      939,71         37
E-Twow                                             Spalinowy dwusuwowy                                Custom                                                        937,38         38
E-Twow                                             Elektryczny                                        Custom                                                        935,44         39
Lifan                                              Elektryczny                                        Urban                                                         932,89         40
Lifan                                              Spalinowy czterosuwowy                             Tech                                                           932,8         41
E-Twow                                             Spalinowy czterosuwowy                             Off-road                                                      929,33         42
Lifan                                              Spalinowy dwusuwowy                                Elegance                                                      928,39         43
Suzuki                                             Spalinowy czterosuwowy                             Sport                                                         926,25         44

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
CFMoto                                             Spalinowy czterosuwowy                             NightRide                                                     926,07         45
Peugeot                                            Spalinowy czterosuwowy                             Touring                                                       924,35         46
TGB                                                Spalinowy czterosuwowy                             Smart                                                         924,29         47
Keeway                                             Spalinowy czterosuwowy                             Travel                                                         921,5         48
Ducati                                             Spalinowy dwusuwowy                                NightRide                                                     921,09         49
Rieju                                              Spalinowy dwusuwowy                                TouringPlus                                                   920,81         50
E-Twow                                             Elektryczny                                        Lux                                                           917,65         51
Keeway                                             Spalinowy dwusuwowy                                Travel                                                        915,36         52
Aeon                                               Elektryczny                                        Classic                                                       910,25         53
Keeway                                             Spalinowy czterosuwowy                             Adventure                                                     907,92         54
Keeway                                             Elektryczny                                        Urban                                                         904,91         55

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Rieju                                              Spalinowy czterosuwowy                             LED                                                           902,11         56
Malaguti                                           Spalinowy czterosuwowy                             Eco                                                           899,33         57
CFMoto                                             Elektryczny                                        TouringPlus                                                   897,82         58
Rieju                                              Elektryczny                                        SafetyPlus                                                    897,69         59
Moto Guzzi                                         Spalinowy dwusuwowy                                SafetyPlus                                                    888,89         60
Ducati                                             Spalinowy czterosuwowy                             Business                                                      887,75         61
Honda                                              Elektryczny                                        SafetyPlus                                                    883,67         62
Gogoro                                             Spalinowy dwusuwowy                                Urban                                                         883,45         63
Malaguti                                           Elektryczny                                        Ultimate                                                      882,83         64
Bajaj                                              Elektryczny                                        Business                                                      873,32         65
Aprilia                                            Spalinowy dwusuwowy                                Travel                                                         871,4         66

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
BMW                                                Elektryczny                                        Smart                                                         871,23         67
Peugeot                                            Elektryczny                                        Standard                                                      867,97         68
Suzuki                                             Elektryczny                                        Safety                                                         861,5         69
Lifan                                              Elektryczny                                        Pro                                                           861,07         70
Sym                                                Elektryczny                                        Business                                                      858,33         71
Lifan                                              Spalinowy czterosuwowy                             Sport                                                         858,32         72
Aeon                                               Spalinowy dwusuwowy                                Standard                                                      856,02         73
Peugeot                                            Spalinowy czterosuwowy                             Business                                                      853,58         74
Aprilia                                            Spalinowy dwusuwowy                                Touring                                                       849,99         75
Ducati                                             Elektryczny                                        Travel                                                        847,42         76
Super Soco                                         Spalinowy dwusuwowy                                Tech                                                          846,67         77

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Aprilia                                            Elektryczny                                        Touring                                                       846,29         78
Suzuki                                             Spalinowy dwusuwowy                                Winter                                                        844,22         79
Super Soco                                         Elektryczny                                        Custom                                                        842,71         80
Bajaj                                              Spalinowy dwusuwowy                                Smart                                                         841,03         81
Bajaj                                              Elektryczny                                        Off-road                                                      839,88         82
Aeon                                               Elektryczny                                        Winter                                                        839,54         83
Suzuki                                             Elektryczny                                        Pro                                                           839,46         84
Lifan                                              Spalinowy czterosuwowy                             Urban                                                          837,2         85
Suzuki                                             Elektryczny                                        Elegance                                                      833,98         86
Lifan                                              Spalinowy dwusuwowy                                Standard                                                      832,17         87
Aeon                                               Spalinowy czterosuwowy                             Lux                                                           828,68         88

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Honda                                              Spalinowy dwusuwowy                                Extreme                                                       821,42         89
Honda                                              Spalinowy dwusuwowy                                Urban                                                         817,16         90
Suzuki                                             Elektryczny                                        Travel                                                        815,06         91
E-Twow                                             Spalinowy czterosuwowy                             Tech                                                          814,35         92
Rieju                                              Spalinowy czterosuwowy                             Sport                                                         810,11         93
Aprilia                                            Elektryczny                                        Urban                                                          805,7         94
Bajaj                                              Spalinowy czterosuwowy                             Ultimate                                                      803,27         95
Ducati                                             Spalinowy dwusuwowy                                City                                                          797,38         96
Ducati                                             Elektryczny                                        Sport                                                         795,06         97
Aeon                                               Spalinowy dwusuwowy                                Off-road                                                      789,04         98
Aprilia                                            Spalinowy czterosuwowy                             Eco                                                           788,89         99

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
